Latitude,Longitude,City,State,Month,Year,Maximum Temperature,Average Temperature,Minimum Temperature,Precipitation Average,Wind Average
29.64 °N,95.28 °W,Houston,TX,June,2014,92,81.23,69,0.10,7.44
29.64 °N,95.28 °W,Houston,TX,July,2014,96,82.84,74,0.04,5.65
29.64 °N,95.28 °W,Houston,TX,August,2014,97,83.42,72,0.06,6.12
29.64 °N,95.28 °W,Houston,TX,September,2014,94,79.76,66,0.13,5.81
29.64 °N,95.28 °W,Houston,TX,October,2014,91,72.92,0,0.08,6.06
29.64 °N,95.28 °W,Houston,TX,November,2014,82,58.57,34,0.15,8.32
29.64 °N,95.28 °W,Houston,TX,December,2014,77,58.32,37,0.15,7.78
29.64 °N,95.28 °W,Houston,TX,January,2015,78,50.12,30,0.17,7.78
29.64 °N,95.28 °W,Houston,TX,February,2015,82,53.64,34,0.03,8.62
29.64 °N,95.28 °W,Houston,TX,March,2015,83,62.68,33,0.20,7.51
29.64 °N,95.28 °W,Houston,TX,April,2015,87,72.17,54,0.27,7.9
29.64 °N,95.28 °W,Houston,TX,May,2015,90,76.94,57,0.42,8.28
29.64 °N,95.28 °W,Houston,TX,June,2015,93,81.88,70,0.14,6.16
29.64 °N,95.28 °W,Houston,TX,July,2015,99,84.77,72,0.13,6.52
29.64 °N,95.28 °W,Houston,TX,August,2015,103,83.94,72,0.26,5.51
29.64 °N,95.28 °W,Houston,TX,September,2015,94,79.6,64,0.15,4.92
29.64 °N,95.28 °W,Houston,TX,October,2015,93,74.29,57,0.33,7.51
29.64 °N,95.28 °W,Houston,TX,November,2015,85,65.05,38,0.14,7.47
29.64 °N,95.28 °W,Houston,TX,December,2015,83,61.07,41,0.11,8.2
29.64 °N,95.28 °W,Houston,TX,January,2016,77,53.92,35,0.08,7.61
29.64 °N,95.28 °W,Houston,TX,February,2016,81,60.36,37,0.06,8.28
29.64 °N,95.28 °W,Houston,TX,March,2016,88,67.34,42,0.13,9.48
29.64 °N,95.28 °W,Houston,TX,April,2016,86,71.14,47,0.30,8.16
29.64 °N,95.28 °W,Houston,TX,May,2016,89,76.12,59,0.25,7.97
29.64 °N,95.28 °W,Houston,TX,June,2016,96,81.68,0,0.27,5.5
29.64 °N,95.28 °W,Houston,TX,July,2016,98,85.43,75,0.17,6.53
29.64 °N,95.28 °W,Houston,TX,August,2016,98,83.34,73,0.27,6.28
29.64 °N,95.28 °W,Houston,TX,September,2016,96,81.99,62,0.08,5.51
29.64 °N,95.28 °W,Houston,TX,October,2016,91,75.77,54,0.03,5.86
29.64 °N,95.28 °W,Houston,TX,November,2016,86,68.1,40,0.04,7.14
29.64 °N,95.28 °W,Houston,TX,December,2016,82,60.17,32,0.09,9.31
29.64 °N,95.28 °W,Houston,TX,January,2017,81,60.15,23,0.16,9.4
29.64 °N,95.28 °W,Houston,TX,February,2017,86,66.1,44,0.07,9.57
29.64 °N,95.28 °W,Houston,TX,March,2017,84,67.85,0,0.26,9.23
29.64 °N,95.28 °W,Houston,TX,April,2017,90,71.89,51,0.10,9.26
29.64 °N,95.28 °W,Houston,TX,May,2017,90,75.93,54,0.08,9.13
29.64 °N,95.28 °W,Houston,TX,June,2017,95,81.52,69,0.18,8.14
29.64 °N,95.28 °W,Houston,TX,July,2017,102,85.64,75,0.05,6.13
29.64 °N,95.28 °W,Houston,TX,August,2017,99,84.65,73,0.72,8.77
29.64 °N,95.28 °W,Houston,TX,September,2017,95,81.25,65,0.13,5.99
29.64 °N,95.28 °W,Houston,TX,October,2017,94,74.33,41,0.08,7.31
29.64 °N,95.28 °W,Houston,TX,November,2017,89,67.01,42,0.04,7.17
29.64 °N,95.28 °W,Houston,TX,December,2017,80,54.14,30,0.15,8.5
29.64 °N,95.28 °W,Houston,TX,January,2018,79,49.2,20,0.11,8.65
29.64 °N,95.28 °W,Houston,TX,February,2018,82,62.68,37,0.14,9.37
29.64 °N,95.28 °W,Houston,TX,March,2018,84,66.81,47,0.06,9.28
29.64 °N,95.28 °W,Houston,TX,April,2018,85,67.26,46,0.09,9.56
29.64 °N,95.28 °W,Houston,TX,May,2018,93,78.36,64,0.12,7.61
29.64 °N,95.28 °W,Houston,TX,June,2018,95,82.72,0,0.12,7.78
29.64 °N,95.28 °W,Houston,TX,July,2018,99,84.35,73,0.25,6.52
29.64 °N,95.28 °W,Houston,TX,August,2018,98,84.46,74,0.06,6.46
29.64 °N,95.28 °W,Houston,TX,September,2018,94,79.65,70,0.26,6.26
29.64 °N,95.28 °W,Houston,TX,October,2018,91,72.56,54,0.15,8.24
29.64 °N,95.28 °W,Houston,TX,November,2018,88,59.03,33,0.15,8.52
29.64 °N,95.28 °W,Houston,TX,December,2018,80,56.72,38,0.20,9
29.64 °N,95.28 °W,Houston,TX,January,2019,77,54.08,32,0.12,8.74
29.64 °N,95.28 °W,Houston,TX,February,2019,79,60.18,38,0.13,9.57
29.64 °N,95.28 °W,Houston,TX,March,2019,85,62.8,31,0.02,9.44
29.64 °N,95.28 °W,Houston,TX,April,2019,89,69.99,40,0.07,10.79
29.64 °N,95.28 °W,Houston,TX,May,2019,91,78.36,62,0.35,10.76
29.64 °N,95.28 °W,Houston,TX,June,2019,96,82.54,68,0.25,8.41
29.64 °N,95.28 °W,Houston,TX,July,2019,97,84.79,70,0.02,8.44
29.64 °N,95.28 °W,Houston,TX,August,2019,99,85.44,75,0.23,7.01
29.64 °N,95.28 °W,Houston,TX,September,2019,98,83.48,74,0.38,7.94
29.64 °N,95.28 °W,Houston,TX,October,2019,93,72.71,40,0.14,9.17
29.64 °N,95.28 °W,Houston,TX,November,2019,81,60.87,33,0.07,9.04
29.64 °N,95.28 °W,Houston,TX,December,2019,83,58.53,35,0.03,8
29.64 °N,95.28 °W,Houston,TX,January,2020,79,59.54,39,0.16,9.18
29.64 °N,95.28 °W,Houston,TX,February,2020,80,58.62,37,0.08,10.13
29.64 °N,95.28 °W,Houston,TX,March,2020,88,71.05,50,0.02,10.73
29.64 °N,95.28 °W,Houston,TX,April,2020,93,71.92,50,0.09,9.97
29.64 °N,95.28 °W,Houston,TX,May,2020,93,77.51,62,0.21,9.82
29.64 °N,95.28 °W,Houston,TX,June,2020,96,83.02,71,0.20,8.77
29.64 °N,95.28 °W,Houston,TX,July,2020,98,84.96,75,0.24,8.64
29.64 °N,95.28 °W,Houston,TX,August,2020,99,85.91,73,0.07,7.4
29.64 °N,95.28 °W,Houston,TX,September,2020,97,81.14,59,0.30,9.52
29.64 °N,95.28 °W,Houston,TX,October,2020,92,73.29,46,0.04,8.44
29.64 °N,95.28 °W,Houston,TX,November,2020,85,68.16,40,0.10,7.82
29.64 °N,95.28 °W,Houston,TX,December,2020,80,57.75,33,0.20,8.61
29.64 °N,95.28 °W,Houston,TX,January,2021,81,56.54,34,0.11,9.05
29.64 °N,95.28 °W,Houston,TX,February,2021,82,53.32,15,0.07,10.61
29.64 °N,95.28 °W,Houston,TX,March,2021,84,65.92,45,0.05,10.55
29.64 °N,95.28 °W,Houston,TX,April,2021,89,70.42,0,0.05,10.76
29.64 °N,95.28 °W,Houston,TX,May,2021,90,76.95,63,0.36,10.41
29.64 °N,95.28 °W,Houston,TX,June,2021,98,84.11,0,0.20,8.29
29.64 °N,95.28 °W,Houston,TX,July,2021,98,84.34,74,0.23,6.67
29.64 °N,95.28 °W,Houston,TX,August,2021,98,85.19,0,0.12,6.62
29.64 °N,95.28 °W,Houston,TX,September,2021,97,81.02,64,0.26,7.18
29.64 °N,95.28 °W,Houston,TX,October,2021,92,76.37,51,0.09,7.2
29.64 °N,95.28 °W,Houston,TX,November,2021,86,64.39,48,0.07,7.5
29.64 °N,95.28 °W,Houston,TX,December,2021,86,68.97,42,0.06,9.16
